iter	Passed	Remaining
0	47	47704
1	48	24063
2	49	16386
3	50	12528
4	51	10226
5	52	8671
6	53	7589
7	54	6755
8	55	6088
9	56	5558
10	57	5150
11	58	4778
12	58	4474
13	59	4209
14	60	3979
15	61	3780
16	62	3605
17	63	3464
18	63	3303
19	64	3180
20	65	3063
21	66	2956
22	67	2859
23	68	2773
24	69	2697
25	70	2628
26	71	2565
27	72	2502
28	72	2427
29	72	2356
30	73	2289
31	73	2227
32	73	2168
33	74	2112
34	74	2060
35	75	2010
36	75	1963
37	75	1918
38	76	1876
39	76	1836
40	76	1797
41	77	1761
42	77	1727
43	77	1693
44	78	1661
45	78	1631
46	79	1602
47	79	1574
48	79	1547
49	80	1521
50	80	1497
51	81	1480
52	81	1457
53	81	1435
54	82	1414
55	82	1393
56	83	1373
57	83	1354
58	83	1335
59	84	1317
60	84	1300
61	85	1286
62	85	1270
63	85	1254
64	86	1238
65	86	1224
66	86	1209
67	87	1192
68	87	1179
69	87	1165
70	88	1155
71	88	1142
72	89	1130
73	89	1118
74	89	1106
75	90	1094
76	90	1083
77	90	1073
78	91	1062
79	91	1052
80	91	1042
81	92	1032
82	92	1022
83	92	1013
84	93	1002
85	93	994
86	93	983
87	94	975
88	94	967
89	94	958
90	95	951
91	95	943
92	95	935
93	96	927
94	96	920
95	96	913
96	97	906
97	97	899
98	98	892
99	98	885
100	98	879
101	98	870
102	99	864
103	99	858
104	99	852
105	100	846
106	100	840
107	101	834
108	101	828
109	101	823
110	102	817
111	102	812
112	102	807
113	103	802
114	103	796
115	103	791
116	104	786
117	104	781
118	104	775
119	105	771
120	105	766
121	105	762
122	106	756
123	106	752
124	106	747
125	107	743
126	107	739
127	107	733
128	108	730
129	108	726
130	108	722
131	109	718
132	109	714
133	109	710
134	110	706
135	110	702
136	110	699
137	111	694
138	111	691
139	111	687
140	112	684
141	112	680
142	113	677
143	113	674
144	113	671
145	114	668
146	114	664
147	114	661
148	115	658
149	115	655
150	115	652
151	116	649
152	116	646
153	117	643
154	117	640
155	117	637
156	118	634
157	118	631
158	118	628
159	119	626
160	119	622
161	119	620
162	120	617
163	120	615
164	120	612
165	121	609
166	121	606
167	122	604
168	122	601
169	122	599
170	123	596
171	123	594
172	123	591
173	124	589
174	124	586
175	124	584
176	125	582
177	125	580
178	125	577
179	126	575
180	126	572
181	126	569
182	127	567
183	127	565
184	127	563
185	128	561
186	128	559
187	128	556
188	129	554
189	129	552
190	130	550
191	130	548
192	130	546
193	130	544
194	131	542
195	131	540
196	132	538
197	132	536
198	132	534
199	133	532
200	133	532
201	134	530
202	134	528
203	134	526
204	135	524
205	135	522
206	136	521
207	136	519
208	136	517
209	137	515
210	137	513
211	137	511
212	138	510
213	138	508
214	138	507
215	139	505
216	139	503
217	139	501
218	140	500
219	140	498
220	140	496
221	141	495
222	141	493
223	141	491
224	142	490
225	142	488
226	143	487
227	143	485
228	143	483
229	144	482
230	144	480
231	144	479
232	145	477
233	145	476
234	145	474
235	146	473
236	146	471
237	146	470
238	147	468
239	147	467
240	147	465
241	148	464
242	148	462
243	148	461
244	149	460
245	149	458
246	149	457
247	150	456
248	150	454
249	151	453
250	151	451
251	151	450
252	152	449
253	152	447
254	152	446
255	153	445
256	153	443
257	153	442
258	154	441
259	154	440
260	154	438
261	155	437
262	155	435
263	156	434
264	156	433
265	156	432
266	157	431
267	157	430
268	157	428
269	158	427
270	158	426
271	158	424
272	159	423
273	159	422
274	159	421
275	160	420
276	160	419
277	160	417
278	161	416
279	161	415
280	162	414
281	162	413
282	162	412
283	163	411
284	163	409
285	163	408
286	164	407
287	164	406
288	164	405
289	165	404
290	165	403
291	165	402
292	166	400
293	166	399
294	166	398
295	167	397
296	167	396
297	167	395
298	168	394
299	168	393
300	168	392
301	169	391
302	169	390
303	170	389
304	170	388
305	170	387
306	172	388
307	172	387
308	172	386
309	173	385
310	173	385
311	174	384
312	174	383
313	175	382
314	175	381
315	175	380
316	176	379
317	176	378
318	176	377
319	177	376
320	177	375
321	177	374
322	178	373
323	178	372
324	178	371
325	179	370
326	179	369
327	180	368
328	180	367
329	180	366
330	181	366
331	181	365
332	181	364
333	182	363
334	182	362
335	183	362
336	183	361
337	184	360
338	184	359
339	184	358
340	185	358
341	185	357
342	186	356
343	186	355
344	186	354
345	187	353
346	187	353
347	188	352
348	188	351
349	188	350
350	189	349
351	189	348
352	189	347
353	190	346
354	190	346
355	190	345
356	191	344
357	191	343
358	191	342
359	192	341
360	192	340
361	192	339
362	193	339
363	193	338
364	194	337
365	194	336
366	194	335
367	195	334
368	195	334
369	195	333
370	196	332
371	196	331
372	196	330
373	197	330
374	197	329
375	197	328
376	198	327
377	198	326
378	199	326
379	199	325
380	199	324
381	200	323
382	200	322
383	200	322
384	201	321
385	201	320
386	201	319
387	202	318
388	202	318
389	202	317
390	203	316
391	203	315
392	203	314
393	204	314
394	204	313
395	204	312
396	205	311
397	205	310
398	205	309
399	205	308
400	206	308
401	206	307
402	206	306
403	207	305
404	207	304
405	207	304
406	208	304
407	209	303
408	210	303
409	211	303
410	211	303
411	211	302
412	212	301
413	212	300
414	212	300
415	213	299
416	213	298
417	213	297
418	214	297
419	214	296
420	215	295
421	215	295
422	215	294
423	216	293
424	216	292
425	216	292
426	217	291
427	217	290
428	218	290
429	218	289
430	218	288
431	219	288
432	219	287
433	219	286
434	220	286
435	220	285
436	221	284
437	221	284
438	221	283
439	222	282
440	222	282
441	222	281
442	223	280
443	223	280
444	224	279
445	224	278
446	224	278
447	225	277
448	226	277
449	226	277
450	226	276
451	227	275
452	227	274
453	227	273
454	228	273
455	228	272
456	228	271
457	228	270
458	229	270
459	229	269
460	230	269
461	230	268
462	231	268
463	232	268
464	232	267
465	232	266
466	233	266
467	233	265
468	234	265
469	234	264
470	234	263
471	235	262
472	235	262
473	235	261
474	236	261
475	236	260
476	236	259
477	237	259
478	237	258
479	237	257
480	238	257
481	238	256
482	239	255
483	239	255
484	239	254
485	240	253
486	240	253
487	240	252
488	241	251
489	241	251
490	241	250
491	242	250
492	242	249
493	242	248
494	243	248
495	243	247
496	243	246
497	244	246
498	244	245
499	244	244
500	245	244
501	245	243
502	246	243
503	246	242
504	246	241
505	247	241
506	249	242
507	250	243
508	251	242
509	251	241
510	252	241
511	252	240
512	253	240
513	253	239
514	253	239
515	254	238
516	254	237
517	254	237
518	255	236
519	255	236
520	256	235
521	256	234
522	256	234
523	257	233
524	257	233
525	258	232
526	258	231
527	258	231
528	259	230
529	259	230
530	260	229
531	260	229
532	260	228
533	261	227
534	261	227
535	261	226
536	262	226
537	262	225
538	262	224
539	263	224
540	263	223
541	264	223
542	264	222
543	264	221
544	265	221
545	265	220
546	265	220
547	266	219
548	266	218
549	266	218
550	267	217
551	267	217
552	267	216
553	268	215
554	268	215
555	268	214
556	269	214
557	269	213
