iter	Passed	Remaining
0	47	47386
1	47	23872
2	48	16026
3	48	12095
4	48	9738
5	49	8166
6	49	7042
7	50	6202
8	50	5547
9	50	5023
10	51	4595
11	51	4237
12	51	3934
13	52	3675
14	52	3450
15	52	3253
16	53	3080
17	53	2925
18	54	2793
19	54	2672
20	54	2562
21	55	2464
22	55	2375
23	56	2305
24	57	2225
25	57	2150
26	57	2082
27	58	2018
28	58	1959
29	58	1905
30	59	1856
31	60	1823
32	60	1777
33	60	1732
34	61	1706
35	62	1667
36	62	1630
37	63	1595
38	63	1562
39	63	1531
40	64	1500
41	64	1471
42	64	1444
43	65	1418
44	65	1392
45	66	1368
46	66	1345
47	66	1323
48	67	1302
49	67	1282
50	67	1262
51	68	1244
52	68	1226
53	69	1209
54	69	1191
55	70	1182
56	70	1168
57	70	1152
58	71	1136
59	71	1123
60	72	1110
61	72	1096
62	72	1082
63	73	1070
64	73	1059
65	73	1046
66	74	1034
67	74	1021
68	75	1012
69	75	1002
70	75	992
71	76	981
72	76	970
73	76	960
74	77	950
75	77	942
76	77	934
77	78	926
78	78	918
79	79	911
80	79	902
81	79	893
82	79	883
83	80	875
84	80	867
85	80	859
86	81	853
87	81	847
88	82	841
89	82	836
90	83	829
91	85	847
92	86	841
93	86	836
94	87	830
95	87	824
96	87	819
97	88	813
98	88	807
99	89	802
100	89	796
101	89	791
102	90	786
103	90	780
104	90	775
105	91	769
106	91	765
107	92	759
108	92	755
109	92	750
110	93	746
111	93	740
112	93	736
113	94	731
114	94	727
115	94	722
116	95	718
117	95	713
118	95	710
119	96	705
120	96	701
121	96	696
122	97	693
123	97	689
124	97	685
125	98	681
126	98	677
127	98	673
128	99	672
129	99	668
130	100	664
131	100	661
132	100	657
133	101	654
134	101	650
135	101	647
136	102	644
137	102	641
138	103	638
139	103	635
140	103	631
141	103	627
142	104	624
143	104	621
144	105	619
145	105	616
146	105	613
147	106	610
148	106	608
149	106	605
150	107	602
151	107	599
152	107	597
153	108	594
154	108	591
155	108	588
156	109	586
157	109	584
158	109	581
159	110	578
160	110	575
161	110	573
162	111	571
163	111	568
164	111	566
165	112	563
166	112	561
167	112	559
168	113	557
169	113	555
170	114	553
171	114	550
172	114	548
173	115	546
174	115	544
175	115	542
176	116	540
177	116	538
178	117	536
179	117	534
180	117	533
181	118	531
182	118	529
183	119	528
184	119	525
185	119	524
186	120	521
187	120	520
188	120	518
189	121	516
190	121	514
191	122	513
192	122	512
193	122	510
194	123	508
195	123	506
196	124	505
197	124	503
198	124	501
199	125	500
200	125	499
201	126	497
202	126	496
203	126	494
204	127	492
205	127	491
206	127	489
207	128	488
208	128	486
209	128	485
210	129	483
211	129	482
212	129	480
213	130	478
214	130	477
215	131	475
216	131	474
217	131	472
218	132	471
219	132	469
220	132	468
221	133	466
222	133	465
223	133	464
224	134	462
225	134	461
226	135	461
227	135	459
228	136	458
229	136	456
230	136	455
231	137	454
232	137	452
233	137	451
234	138	449
235	138	448
236	138	447
237	139	445
238	139	444
239	139	443
240	140	441
241	140	440
242	140	439
243	141	438
244	141	436
245	142	435
246	142	434
247	142	433
248	143	431
249	143	430
250	143	429
251	144	428
252	144	426
253	144	425
254	145	424
255	145	423
256	146	422
257	146	421
258	146	420
259	147	418
260	147	417
261	147	416
262	148	415
263	148	414
264	148	413
265	149	412
266	149	410
267	150	410
268	150	408
269	150	407
270	151	406
271	151	405
272	151	404
273	152	403
274	152	402
275	152	401
276	153	400
277	153	399
278	154	398
279	154	397
280	154	395
281	155	395
282	155	393
283	155	392
284	156	391
285	156	390
286	156	389
287	157	388
288	157	387
289	158	386
290	158	385
291	158	384
292	159	383
293	159	382
294	159	381
295	160	380
296	160	379
297	160	379
298	161	377
299	161	377
300	161	375
301	162	375
302	162	374
303	163	373
304	163	372
305	163	371
306	164	370
307	164	369
308	164	368
309	165	367
310	165	366
311	165	365
312	166	364
313	166	363
314	166	362
315	167	362
316	167	361
317	168	360
318	168	359
319	168	358
320	168	357
321	169	356
322	169	355
323	170	354
324	170	354
325	170	353
326	171	352
327	171	351
328	171	350
329	172	349
330	172	349
331	173	348
332	173	347
333	174	347
334	174	346
335	174	345
336	175	344
337	175	344
338	176	343
339	176	342
340	176	341
341	177	341
342	177	340
343	178	339
344	178	339
345	179	338
346	179	337
347	180	337
348	180	336
349	180	335
350	181	335
351	181	334
352	182	334
353	185	338
354	187	340
355	187	340
356	188	339
357	188	338
358	189	337
359	189	337
360	190	336
361	190	335
362	191	335
363	191	334
364	191	333
365	192	333
366	192	332
367	193	331
368	195	333
369	197	335
370	197	335
371	198	334
372	198	333
373	198	332
374	199	332
375	199	331
376	199	330
377	200	329
378	200	328
379	200	327
380	201	327
381	201	326
382	202	325
383	202	324
384	202	324
385	203	323
386	203	322
387	203	321
388	204	321
389	204	320
390	205	319
391	206	319
392	206	318
393	206	318
394	207	317
395	207	316
396	207	315
397	208	315
398	208	314
399	209	313
400	209	312
401	209	312
402	210	311
403	210	310
404	210	309
405	211	309
406	211	308
407	211	307
408	212	306
409	212	305
410	212	305
411	213	304
412	213	303
413	213	302
414	214	302
415	214	301
416	214	300
417	215	299
418	215	299
419	216	298
420	216	297
421	216	296
422	217	296
423	217	295
424	217	294
425	218	294
426	218	293
427	218	292
428	219	291
429	220	291
430	220	291
431	220	290
432	221	289
433	221	289
434	222	288
435	222	288
436	223	287
437	223	286
438	223	286
439	224	285
440	224	284
441	224	284
442	225	283
443	225	282
444	226	281
445	226	281
446	226	280
447	227	279
448	227	279
449	227	278
450	228	277
451	228	277
452	228	276
453	229	275
454	229	275
455	230	274
456	230	273
457	230	273
458	231	272
459	231	271
460	231	271
461	232	270
462	232	269
463	232	269
464	233	268
465	233	267
466	233	267
467	234	266
468	234	265
469	235	265
470	235	264
471	235	263
472	236	263
473	236	262
474	236	261
475	237	261
476	237	260
477	237	259
478	238	259
479	238	258
480	238	257
481	239	257
482	239	256
483	240	255
484	240	255
485	240	254
486	241	253
487	241	253
488	241	252
489	242	252
490	242	251
491	242	250
492	243	250
493	243	249
494	244	249
495	244	248
496	244	247
497	245	247
498	245	246
499	245	245
500	246	245
501	246	244
502	247	244
503	247	243
504	247	242
505	248	242
506	248	241
507	248	240
508	249	240
509	249	239
510	249	239
511	250	238
512	250	238
513	251	237
514	251	236
515	252	236
516	252	235
517	252	235
518	253	234
519	253	233
520	253	233
521	254	232
522	254	232
523	254	231
524	255	230
525	255	230
526	255	229
527	256	229
528	256	228
529	256	227
530	257	227
531	257	226
532	257	226
533	258	225
534	258	224
535	259	224
536	259	223
537	259	223
538	260	222
539	260	221
540	260	221
541	261	220
542	261	220
543	262	219
544	262	219
545	262	218
546	263	217
547	263	217
548	263	216
549	264	216
550	264	215
551	264	214
552	265	214
553	265	213
554	266	213
555	266	212
556	266	212
557	267	211
558	267	211
559	267	210
560	268	209
561	268	209
562	268	208
563	269	208
564	269	207
565	270	207
566	270	206
567	270	205
568	271	205
569	271	204
570	271	204
571	272	203
572	272	203
573	272	202
574	273	201
575	273	201
576	273	200
577	274	200
578	274	199
579	275	199
580	275	198
581	275	198
582	276	197
583	276	197
584	276	196
585	277	195
586	277	195
587	277	194
588	278	194
589	278	193
590	278	193
591	279	192
592	279	191
593	280	191
594	280	190
595	280	190
596	281	189
597	281	189
598	281	188
599	281	187
600	282	187
601	282	186
602	282	186
603	283	185
604	283	185
605	283	184
606	283	183
607	284	183
608	284	182
609	285	182
610	285	181
611	286	181
612	287	181
613	288	181
614	289	181
615	290	180
616	290	180
617	291	180
618	292	180
619	293	179
620	294	179
621	295	179
622	296	179
623	297	178
624	297	178
625	298	178
626	301	179
627	301	178
628	302	178
629	303	178
630	304	178
631	305	177
632	305	177
633	306	176
634	306	176
635	306	175
636	307	175
637	307	174
638	308	174
639	308	173
640	308	172
641	309	172
642	309	171
643	309	171
644	309	170
645	310	170
646	310	169
647	310	168
648	311	168
649	312	168
650	316	169
651	317	169
652	317	168
653	317	168
654	318	167
655	318	167
656	319	166
657	319	166
658	319	165
659	320	164
660	320	164
661	321	163
662	321	163
663	321	162
664	322	162
665	322	161
666	322	161
667	323	160
668	323	160
669	323	159
670	324	158
671	324	158
672	325	157
673	325	157
674	325	156
675	326	156
676	326	155
677	328	155
678	328	155
679	328	154
680	329	154
681	329	153
682	330	153
683	330	152
684	330	152
685	331	151
686	331	151
687	332	150
688	332	150
689	332	149
690	332	148
691	333	148
692	333	147
693	334	147
694	334	146
695	334	146
696	335	145
697	335	145
698	335	144
699	336	144
700	336	143
701	337	143
702	337	142
703	337	142
704	338	141
705	338	141
706	339	140
707	339	140
708	339	139
709	340	138
710	340	138
711	340	137
712	341	137
713	341	136
714	341	136
715	341	135
716	342	135
717	342	134
718	342	133
719	343	133
720	343	132
721	344	132
722	344	132
723	344	131
724	345	130
725	345	130
726	345	129
727	346	129
728	346	128
729	346	128
730	347	127
731	347	127
732	347	126
733	348	126
734	348	125
735	349	125
736	349	124
737	349	124
738	350	123
739	350	123
740	350	122
741	351	122
742	351	121
743	351	120
744	351	120
745	352	119
746	352	119
747	353	119
748	353	118
749	353	117
750	354	117
751	354	116
752	354	116
753	355	115
754	355	115
755	356	114
756	356	114
757	357	113
758	357	113
759	357	113
760	358	112
761	358	112
762	359	111
763	359	111
764	359	110
765	360	109
766	360	109
767	360	108
768	360	108
769	361	107
770	361	107
771	361	106
772	362	106
773	362	105
774	362	105
775	363	104
776	363	104
777	363	103
778	364	103
779	364	102
780	365	102
781	365	101
782	365	101
783	366	100
784	366	100
785	367	99
786	367	99
787	368	99
788	368	98
789	369	98
790	369	97
791	369	97
792	370	96
793	370	96
794	370	95
795	370	95
796	371	94
797	371	94
798	371	93
799	372	93
800	372	92
801	372	92
802	373	91
803	373	91
804	373	90
805	374	90
806	374	89
807	375	89
808	375	88
809	375	88
810	376	87
811	376	87
812	377	86
813	377	86
814	378	85
815	378	85
816	379	84
817	379	84
818	379	83
819	380	83
820	380	82
821	380	82
822	381	81
823	381	81
824	381	80
825	382	80
826	382	79
827	382	79
828	382	79
829	383	78
830	383	78
831	383	77
832	384	77
833	384	76
834	384	76
835	385	75
836	385	75
837	385	74
838	386	74
839	386	73
840	386	73
841	386	72
842	387	72
843	387	71
844	388	71
845	388	70
846	389	70
847	389	69
848	389	69
849	390	68
850	390	68
851	390	67
852	391	67
853	391	66
854	391	66
855	392	66
856	392	65
857	393	65
858	393	64
859	393	64
860	394	63
861	394	63
862	394	62
863	395	62
864	395	61
865	395	61
866	396	60
867	396	60
868	396	59
869	397	59
870	397	58
871	398	58
872	398	57
873	399	57
874	399	57
875	400	56
876	400	56
877	400	55
878	401	55
879	401	54
880	402	54
881	403	53
882	403	53
883	403	52
884	404	52
885	405	52
886	405	51
887	405	51
888	406	50
889	406	50
890	407	49
891	407	49
892	407	48
893	408	48
894	408	47
895	409	47
896	409	47
897	409	46
898	410	46
899	410	45
900	410	45
901	411	44
902	411	44
903	412	43
904	412	43
905	413	42
906	413	42
907	413	41
908	414	41
909	414	41
910	415	40
911	415	40
912	415	39
913	416	39
914	416	38
915	416	38
916	417	37
917	417	37
918	418	36
919	418	36
920	418	35
921	419	35
922	419	34
923	419	34
924	420	34
925	420	33
926	420	33
927	421	32
928	421	32
929	421	31
930	422	31
931	422	30
932	422	30
933	423	29
934	423	29
935	424	28
936	424	28
937	424	28
938	425	27
939	425	27
940	425	26
941	426	26
942	426	25
943	426	25
944	427	24
945	427	24
946	428	23
947	428	23
948	428	23
949	429	22
950	429	22
951	430	21
952	430	21
953	430	20
954	431	20
955	431	19
956	431	19
957	432	18
958	432	18
959	432	18
960	433	17
961	433	17
962	434	16
963	434	16
964	435	15
965	435	15
966	435	14
967	436	14
968	436	13
969	436	13
970	437	13
971	437	12
972	437	12
973	438	11
974	438	11
975	439	10
976	439	10
977	439	9
978	440	9
979	440	8
980	440	8
981	441	8
982	441	7
983	442	7
984	442	6
985	442	6
986	442	5
987	443	5
988	443	4
989	444	4
990	444	4
991	444	3
992	445	3
993	445	2
994	445	2
995	446	1
996	446	1
997	446	0
998	447	0
999	447	0
